UserID,Probability1
3,0.743496778
4,0.665009475
10,0.717199084
14,0.138423919
16,0.35215152
23,0.319691223
29,0.680157223
33,0.502479163
37,0.532341497
45,0.677051369
47,0.733856578
54,0.17094477
55,0.557324818
60,0.417942777
68,0.795798478
79,0.576274746
90,0.629414163
93,0.401318772
98,0.443982744
101,0.691712662
107,0.510214613
109,0.489911248
113,0.551857634
116,0.470563434
118,0.187054222
119,0.701211007
120,0.862395182
126,0.619666498
131,0.88155584
134,0.85738098
135,0.60970498
137,0.886320909
139,0.320051207
140,0.598290888
141,0.931152374
142,0.326978943
152,0.873337954
162,0.688772729
164,0.687849368
168,0.64647247
172,0.771021426
173,0.63334205
176,0.924989173
179,0.663356941
181,0.596881926
182,0.210121405
183,0.392065334
186,0.89262282
189,0.665105099
192,0.449707186
193,0.68779604
194,0.774433355
196,0.599586635
197,0.905977244
198,0.451924872
201,0.696225533
204,0.751032893
205,0.458344205
210,0.742148464
213,0.453081869
216,0.345139423
221,0.88707627
234,0.065020395
237,0.394896891
241,0.484688146
246,0.231687084
258,0.896083904
261,0.134354271
262,0.570236426
271,0.50225593
279,0.779490117
280,0.554002262
288,0.322904374
291,0.629342861
296,0.088846505
301,0.599391897
305,0.056484892
306,0.544424203
310,0.493453686
313,0.891630803
315,0.770610378
317,0.64814923
318,0.912125746
319,0.459182058
321,0.86418536
323,0.479835773
324,0.643618383
325,0.87407806
326,0.698972096
327,0.553912073
328,0.835345476
331,0.405269204
340,0.780156592
342,0.520993819
344,0.734995105
346,0.790796004
347,0.898010826
358,0.063920791
368,0.154957408
369,0.754833975
382,0.488470979
383,0.921009697
384,0.3080186
385,0.548012605
386,0.859107771
392,0.460141046
396,0.468877701
397,0.219613935
399,0.593363943
400,0.935134617
402,0.353127036
404,0.707489883
405,0.184273232
410,0.377541079
412,0.527202546
415,0.427406223
416,0.37809168
418,0.480874975
419,0.338774548
421,0.239078104
422,0.873303964
424,0.8468346
437,0.871866222
440,0.802927941
442,0.698022078
443,0.316565272
447,0.57487517
448,0.548995704
449,0.794324086
453,0.555631208
465,0.307279515
467,0.843668811
468,0.355611444
470,0.075143753
472,0.507191632
476,0.508139322
484,0.737282513
486,0.909136377
487,0.340745626
492,0.810635226
494,0.728800553
495,0.652143361
503,0.654862899
505,0.873592436
514,0.190540485
516,0.501303106
518,0.671714205
521,0.294261377
523,0.6365292
529,0.187732803
531,0.691268326
533,0.42681116
534,0.340662105
